"","TC_group"
"TCGA.AC.A2FM",0
"TCGA.BH.A0AU1",0
"TCGA.BH.A0AY",0
"TCGA.BH.A0AZ",0
"TCGA.BH.A0B3",0
"TCGA.BH.A0B5",0
"TCGA.BH.A0B71",0
"TCGA.BH.A0B8",0
"TCGA.BH.A0BA",0
"TCGA.BH.A0BC",0
"TCGA.BH.A0BJ",0
"TCGA.BH.A0BM",0
"TCGA.BH.A0BQ1",0
"TCGA.BH.A0BS",0
"TCGA.BH.A0BT",0
"TCGA.BH.A0BV",0
"TCGA.BH.A0BW",0
"TCGA.BH.A0BZ",0
"TCGA.BH.A0C0",0
"TCGA.BH.A0C3",0
"TCGA.BH.A0DD1",0
"TCGA.BH.A0DG",0
"TCGA.BH.A0DH",0
"TCGA.BH.A0DK",0
"TCGA.BH.A0DL",0
"TCGA.BH.A0DO",0
"TCGA.BH.A0DP",0
"TCGA.BH.A0DQ",0
"TCGA.BH.A0DT",0
"TCGA.BH.A0DV",0
"TCGA.BH.A0DZ1",0
"TCGA.BH.A0E0",0
"TCGA.BH.A0E1",0
"TCGA.BH.A0H5",0
"TCGA.BH.A0H7",0
"TCGA.BH.A0H9",0
"TCGA.BH.A0HA",0
"TCGA.BH.A0HK",0
"TCGA.BH.A18J",0
"TCGA.BH.A18K",0
"TCGA.BH.A18L",0
"TCGA.BH.A18M1",0
"TCGA.BH.A18N",0
"TCGA.BH.A18P1",0
"TCGA.BH.A18Q",0
"TCGA.BH.A18R",0
"TCGA.BH.A18S",0
"TCGA.BH.A18U1",0
"TCGA.BH.A18V",0
"TCGA.BH.A1EN",0
"TCGA.BH.A1EO",0
"TCGA.BH.A1ET",0
"TCGA.BH.A1EU",0
"TCGA.BH.A1EV1",0
"TCGA.BH.A1EW",0
"TCGA.BH.A1F0",0
"TCGA.BH.A1F21",0
"TCGA.BH.A1F6",0
"TCGA.BH.A1F81",0
"TCGA.BH.A1FB",0
"TCGA.BH.A1FC",0
"TCGA.BH.A1FD",0
"TCGA.BH.A1FE",0
"TCGA.BH.A1FG",0
"TCGA.BH.A1FH",0
"TCGA.BH.A1FJ",0
"TCGA.BH.A1FM",0
"TCGA.BH.A1FN",0
"TCGA.BH.A1FR",0
"TCGA.BH.A1FU",0
"TCGA.BH.A203",0
"TCGA.BH.A204",0
"TCGA.BH.A208",0
"TCGA.BH.A209",0
"TCGA.E2.A153",0
"TCGA.E2.A158",0
"TCGA.E2.A15I",0
"TCGA.E2.A15K",0
"TCGA.E2.A15M",0
"TCGA.E2.A1BC",0
"TCGA.E2.A1IG",0
"TCGA.E2.A1L7",0
"TCGA.E2.A1LB",0
"TCGA.E2.A1LH",0
"TCGA.E2.A1LS",0
"TCGA.E9.A1N41",0
"TCGA.E9.A1N51",0
"TCGA.E9.A1N61",0
"TCGA.E9.A1N9",0
"TCGA.E9.A1NA1",0
"TCGA.E9.A1ND",0
"TCGA.E9.A1NF",0
"TCGA.E9.A1NG",0
"TCGA.E9.A1R7",0
"TCGA.E9.A1RB",0
"TCGA.E9.A1RC",0
"TCGA.E9.A1RD",0
"TCGA.E9.A1RF",0
"TCGA.E9.A1RH",0
"TCGA.E9.A1RI",0
"TCGA.GI.A2C8",0
"TCGA.GI.A2C9",0
