Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
TAS2R31		1	1	52	1.9%	No
PNN		1	1	52	1.9%	No
NXF3		1	1	52	1.9%	No
SMG9		1	1	52	1.9%	No
CORO7		1	1	52	1.9%	No
TMEM47		1	1	52	1.9%	No
PAICS		2	2	52	3.8%	No
NXF2		1	1	52	1.9%	No
CBX8		1	1	52	1.9%	No
ZNF286A		1	1	52	1.9%	No
MASTL		1	1	52	1.9%	No
SRPRA		4	2	52	3.8%	No
PNLIP		1	1	52	1.9%	No
RDH8		1	1	52	1.9%	No
PODXL		1	1	52	1.9%	No
ACTR6		1	1	52	1.9%	No
SSTR3		1	1	52	1.9%	No
LSMEM1		1	1	52	1.9%	No
POLA1		1	1	52	1.9%	No
SSTR2		1	1	52	1.9%	No
CENPF		2	2	52	3.8%	No
CENPE		1	1	52	1.9%	No
ITPRID2		1	1	52	1.9%	No
SEPTIN5		1	1	52	1.9%	Yes
TUBGCP6		1	1	52	1.9%	No
SEPTIN4		1	1	52	1.9%	No
RIMBP3		1	1	52	1.9%	No
KATNA1		1	1	52	1.9%	No
SSRP1		1	1	52	1.9%	No
SS18		1	1	52	1.9%	Yes
KIAA1549L		1	1	52	1.9%	No
KCNK18		3	2	52	3.8%	No
PHF11		1	1	52	1.9%	No
FRG2B		1	1	52	1.9%	No
STRIP1		1	1	52	1.9%	No
RTL1		1	1	52	1.9%	No
POLD1		1	1	52	1.9%	Yes
OBSCN		2	2	52	3.8%	No
CIT		1	1	52	1.9%	No
EMILIN1		1	1	52	1.9%	No
CFTR		1	1	52	1.9%	No
MDGA2		1	1	52	1.9%	No
DCAF8L1		2	2	52	3.8%	No
SLC24A4		1	1	52	1.9%	No
FHIP1B		1	1	52	1.9%	No
GPR137		1	1	52	1.9%	No
SLX9		1	1	52	1.9%	No
POLR2J		1	1	52	1.9%	No
GPRC5D		1	1	52	1.9%	No
ELOVL4		1	1	52	1.9%	No
SAGE1		1	1	52	1.9%	No
CEACAM4		1	1	52	1.9%	No
DDX43		1	1	52	1.9%	No
MAGEB3		1	1	52	1.9%	No
STAT5B		2	2	52	3.8%	Yes
PON3		1	1	52	1.9%	No
STAT5A		1	1	52	1.9%	Yes
WDR54		1	1	52	1.9%	No
MAK		1	1	52	1.9%	No
STAT6		2	1	52	1.9%	Yes
POU1F1		1	1	52	1.9%	No
SPOCK2		1	1	52	1.9%	No
SPHK2		1	1	52	1.9%	No
POU5F1		1	1	52	1.9%	Yes
AURKA		1	1	52	1.9%	Yes
MAP1A		1	1	52	1.9%	No
ZRANB3		1	1	52	1.9%	No
CUL7		1	1	52	1.9%	No
DCTN4		2	2	52	3.8%	No
CYB5R4		1	1	52	1.9%	No
SERPINB12		1	1	52	1.9%	No
POU4F2		2	2	52	3.8%	No
DHTKD1		2	2	52	3.8%	No
URB2		1	1	52	1.9%	No
CORIN		1	1	52	1.9%	No
PRAG1		1	1	52	1.9%	No
PPEF2		1	1	52	1.9%	No
FAM186B		1	1	52	1.9%	No
PKP4		2	2	52	3.8%	No
MAML3		2	1	52	1.9%	No
SPATA2		1	1	52	1.9%	No
ARHGEF11		1	1	52	1.9%	No
UMODL1		2	1	52	1.9%	No
MED1		1	1	52	1.9%	No
MARK1		1	1	52	1.9%	No
ARHGAP11A		1	1	52	1.9%	No
ANKRD27		2	2	52	3.8%	No
MBD1		1	1	52	1.9%	No
HEPH		1	1	52	1.9%	No
HSPA14		1	1	52	1.9%	No
ALCAM		1	1	52	1.9%	No
ABCD1		1	1	52	1.9%	No
LCMT2		1	1	52	1.9%	No
PEX3		1	1	52	1.9%	No
NDST2		1	1	52	1.9%	No
NAV1		2	2	52	3.8%	No
NAV3		2	2	52	3.8%	No
HPS4		2	2	52	3.8%	No
PPL		1	1	52	1.9%	No
KIAA0753		1	1	52	1.9%	No
CCDC18		1	1	52	1.9%	No
EPM2AIP1		1	1	52	1.9%	No
HERC5		1	1	52	1.9%	No
ZNF639		1	1	52	1.9%	No
ALDH1A3		1	1	52	1.9%	No
SOX6		2	2	52	3.8%	No
ALDH3B2		1	1	52	1.9%	No
PLCE1		1	1	52	1.9%	No
DHRS13		2	2	52	3.8%	No
NIN		1	1	52	1.9%	Yes
ENOSF1		1	1	52	1.9%	No
FSTL5		1	1	52	1.9%	No
ITGA8		1	1	52	1.9%	No
MFAP3L		1	1	52	1.9%	No
GNB5		1	1	52	1.9%	No
DNAAF3		1	1	52	1.9%	No
CLDN16		2	2	52	3.8%	No
MMAB		1	1	52	1.9%	No
CHST1		1	1	52	1.9%	No
MAGI2		1	1	52	1.9%	No
CCT3		1	1	52	1.9%	No
KIF21B		2	2	52	3.8%	No
PDS5B		1	1	52	1.9%	Yes
SMG1		2	2	52	3.8%	Yes
ALDOC		1	1	52	1.9%	No
ALK		1	1	52	1.9%	Yes
CEP170		1	1	52	1.9%	No
KIAA0319		1	1	52	1.9%	No
RAPGEF4		1	1	52	1.9%	No
CEP350		3	3	52	5.8%	No
SOX7		1	1	52	1.9%	No
ADGRG4		2	2	52	3.8%	No
CNTN4		1	1	52	1.9%	No
APOL1		1	1	52	1.9%	No
AGPS		1	1	52	1.9%	No
SEC24D		2	2	52	3.8%	No
AP3B1		1	1	52	1.9%	No
TOPBP1		1	1	52	1.9%	No
EDNRA		1	1	52	1.9%	No
OR4C46		1	1	52	1.9%	No
CLUAP1		1	1	52	1.9%	No
LRRN4		2	2	52	3.8%	No
HGSNAT		1	1	52	1.9%	No
ALOX15B		2	2	52	3.8%	No
ZSWIM8		2	1	52	1.9%	No
NCOA6		2	2	52	3.8%	No
SETDB1		1	1	52	1.9%	Yes
TRIOBP		1	1	52	1.9%	No
EDN1		1	1	52	1.9%	No
CAMK1		1	1	52	1.9%	No
S1PR3		2	2	52	3.8%	No
MDM4		1	1	52	1.9%	Yes
TRPC1		2	1	52	1.9%	No
POM121		2	2	52	3.8%	No
TBC1D4		1	1	52	1.9%	No
TRPC5		1	1	52	1.9%	No
SMG7		2	2	52	3.8%	No
TRPC6		1	1	52	1.9%	No
TMCC1		1	1	52	1.9%	No
PDZRN3		1	1	52	1.9%	No
MYO16		1	1	52	1.9%	No
MDM2		1	1	52	1.9%	Yes
AMBN		1	1	52	1.9%	No
UPK1A		1	1	52	1.9%	No
EEF1A2		1	1	52	1.9%	No
TOX4		1	1	52	1.9%	No
TECPR2		2	1	52	1.9%	No
OGFR		1	1	52	1.9%	No
WASHC5		1	1	52	1.9%	No
PHLPP2		1	1	52	1.9%	No
PDZD2		2	2	52	3.8%	No
DEGS1		2	2	52	3.8%	No
NUAK1		1	1	52	1.9%	No
XPO7		1	1	52	1.9%	No
AMD1		1	1	52	1.9%	No
KDM4B		1	1	52	1.9%	No
PRR14L		1	1	52	1.9%	No
USP33		1	1	52	1.9%	No
TRPS1		1	1	52	1.9%	No
COL27A1		1	1	52	1.9%	No
OR6F1		1	1	52	1.9%	No
CDK10		1	1	52	1.9%	No
CASK		1	1	52	1.9%	No
TSC1		1	1	52	1.9%	Yes
WDFY3		2	2	52	3.8%	No
DAAM1		1	1	52	1.9%	No
SAMD9L		1	1	52	1.9%	No
AMPD1		1	1	52	1.9%	No
MAPKBP1		1	1	52	1.9%	No
AMPD3		1	1	52	1.9%	No
LILRA3		1	1	52	1.9%	No
C2ORF15		1	1	52	1.9%	No
SPEN		12	6	52	11.5%	Yes
FBXO21		1	1	52	1.9%	No
GOLGA8A		1	1	52	1.9%	No
TSG101		1	1	52	1.9%	No
ANK1		2	2	52	3.8%	No
ANK2		1	1	52	1.9%	No
ANK3		2	2	52	3.8%	No
EFNA4		1	1	52	1.9%	No
ZNF440		1	1	52	1.9%	No
TTC23L		1	1	52	1.9%	No
SLC25A6		2	2	52	3.8%	No
SWSAP1		1	1	52	1.9%	No
MEGF8		1	1	52	1.9%	No
NDUFAF1		1	1	52	1.9%	No
PHF20L1		2	2	52	3.8%	No
KRTAP4-16		1	1	52	1.9%	No
EGFR		1	1	52	1.9%	Yes
RDH11		1	1	52	1.9%	No
DCLRE1C		2	2	52	3.8%	No
TTN		11	8	52	15.4%	No
EGR3		1	1	52	1.9%	No
LACTB2		1	1	52	1.9%	No
HEPACAM		1	1	52	1.9%	No
KLK11		1	1	52	1.9%	No
TLK2		2	2	52	3.8%	No
TMSB15A		1	1	52	1.9%	No
SBDS		1	1	52	1.9%	Yes
RAX2		1	1	52	1.9%	No
C1QTNF5		1	1	52	1.9%	No
NAT9		1	1	52	1.9%	No
EIF4A2		2	2	52	3.8%	Yes
KIF26A		2	2	52	3.8%	No
ZNF337		1	1	52	1.9%	No
PPP4R3B		1	1	52	1.9%	No
TXNRD1		1	1	52	1.9%	No
KIAA0825		1	1	52	1.9%	No
TNFSF4		1	1	52	1.9%	No
ZNF682		1	1	52	1.9%	No
LRTM2		1	1	52	1.9%	No
FAM205A		1	1	52	1.9%	No
GPATCH3		2	2	52	3.8%	No
RAB3IP		1	1	52	1.9%	No
EIF4G1		1	1	52	1.9%	No
BRICD5		1	1	52	1.9%	No
IFT172		2	2	52	3.8%	No
HAP1		1	1	52	1.9%	No
CBLL2		1	1	52	1.9%	No
ZBTB20		1	1	52	1.9%	Yes
IGLV3-16		1	1	52	1.9%	No
ZBED8		1	1	52	1.9%	No
TNN		1	1	52	1.9%	No
CHTF18		1	1	52	1.9%	No
CNTNAP3B		2	1	52	1.9%	No
ZNF335		1	1	52	1.9%	No
ELF1		2	1	52	1.9%	No
ELAVL4		1	1	52	1.9%	No
GAPVD1		1	1	52	1.9%	No
ELAVL1		1	1	52	1.9%	No
TRPC4AP		1	1	52	1.9%	No
SERBP1		1	1	52	1.9%	No
GALNT9		1	1	52	1.9%	No
ITSN2		1	1	52	1.9%	No
STING1		1	1	52	1.9%	No
ZNF658		1	1	52	1.9%	No
TTLL3		1	1	52	1.9%	No
OR56A1		1	1	52	1.9%	No
ITPR1		1	1	52	1.9%	No
ZBTB8A		1	1	52	1.9%	No
TRAF3IP1		1	1	52	1.9%	No
IRF2BP1		1	1	52	1.9%	No
GPR153		1	1	52	1.9%	No
CYHR1		1	1	52	1.9%	No
GEMIN4		1	1	52	1.9%	No
CYP2U1		1	1	52	1.9%	No
TANC2		2	2	52	3.8%	No
PCLO		1	1	52	1.9%	Yes
SVIP		1	1	52	1.9%	No
JAK1		2	2	52	3.8%	Yes
JAK2		1	1	52	1.9%	Yes
JAK3		1	1	52	1.9%	Yes
CECR2		1	1	52	1.9%	No
RPUSD4		1	1	52	1.9%	No
ITPR3		1	1	52	1.9%	No
IVL		1	1	52	1.9%	No
WDR82P1		1	1	52	1.9%	No
PKD2L1		1	1	52	1.9%	No
CHST9		1	1	52	1.9%	No
ARHGAP26		2	2	52	3.8%	Yes
SIPA1L3		1	1	52	1.9%	No
LRIG3		2	2	52	3.8%	Yes
CEP112		1	1	52	1.9%	No
IQSEC2		1	1	52	1.9%	No
EPC2		2	1	52	1.9%	No
CDK19		1	1	52	1.9%	No
SARM1		1	1	52	1.9%	No
ZBTB43		1	1	52	1.9%	No
AGBL4		1	1	52	1.9%	No
ZC3H13		2	1	52	1.9%	No
ARHGEF4		1	1	52	1.9%	No
GPRASP2		1	1	52	1.9%	No
RBM33		1	1	52	1.9%	No
KCNA2		1	1	52	1.9%	No
ZNF609		1	1	52	1.9%	No
KCNA4		1	1	52	1.9%	No
TBC1D9B		2	1	52	1.9%	No
SETX		3	2	52	3.8%	No
EMC1		1	1	52	1.9%	No
SLC45A1		1	1	52	1.9%	No
CAND2		1	1	52	1.9%	No
ANOS1		1	1	52	1.9%	No
KCNA1		1	1	52	1.9%	No
SLC7A7		1	1	52	1.9%	No
ADAMTS5		1	1	52	1.9%	No
KIF13A		1	1	52	1.9%	No
EML4		1	1	52	1.9%	Yes
NUP210L		2	2	52	3.8%	No
ZNF791		2	2	52	3.8%	No
C16ORF95		1	1	52	1.9%	No
CMTR1		2	2	52	3.8%	No
HECW1		1	1	52	1.9%	No
UHRF1BP1L		2	2	52	3.8%	No
KCNA5		1	1	52	1.9%	No
KCNA6		1	1	52	1.9%	No
KCNA7		1	1	52	1.9%	No
KCNC1		1	1	52	1.9%	No
GCNA		1	1	52	1.9%	No
C5ORF60		1	1	52	1.9%	No
PPTC7		1	1	52	1.9%	No
SCYL2		1	1	52	1.9%	No
PIAS2		1	1	52	1.9%	No
KCNJ2		1	1	52	1.9%	No
BEND5		2	2	52	3.8%	No
TMEM145		2	2	52	3.8%	No
TRMU		1	1	52	1.9%	No
DYNC2H1		1	1	52	1.9%	No
ANKRD34B		1	1	52	1.9%	No
ZBTB6		2	2	52	3.8%	No
PINK1		1	1	52	1.9%	No
ASH2L		1	1	52	1.9%	No
IQGAP2		1	1	52	1.9%	No
CHD1		1	1	52	1.9%	No
CHAT		1	1	52	1.9%	No
RCBTB2		1	1	52	1.9%	No
ZNF780A		1	1	52	1.9%	No
TIMM50		1	1	52	1.9%	No
KCNJ12		1	1	52	1.9%	No
SLC15A5		1	1	52	1.9%	No
KCNN2		1	1	52	1.9%	No
RAB43		1	1	52	1.9%	No
LIN28B		1	1	52	1.9%	No
ZNF329		1	1	52	1.9%	No
STX3		1	1	52	1.9%	No
CHGB		1	1	52	1.9%	No
SMC6		1	1	52	1.9%	No
KCNJ16		1	1	52	1.9%	No
PRUNE2		1	1	52	1.9%	No
ZSCAN1		1	1	52	1.9%	No
STRN		1	1	52	1.9%	Yes
KCNMA1		1	1	52	1.9%	No
CHKA		1	1	52	1.9%	No
USP6		1	1	52	1.9%	Yes
PPP1R3B		1	1	52	1.9%	No
ZNF776		1	1	52	1.9%	No
PIGQ		1	1	52	1.9%	No
CHN1		1	1	52	1.9%	Yes
PARP8		1	1	52	1.9%	No
STXBP1		1	1	52	1.9%	No
SAMD14		1	1	52	1.9%	No
STXBP2		1	1	52	1.9%	No
SLC24A3		1	1	52	1.9%	No
SHOC1		1	1	52	1.9%	No
PRSS53		1	1	52	1.9%	No
FERMT3		2	2	52	3.8%	No
SUPT5H		2	1	52	1.9%	No
ZC2HC1C		1	1	52	1.9%	No
KIF3C		1	1	52	1.9%	No
KIF5B		1	1	52	1.9%	Yes
YME1L1		1	1	52	1.9%	No
ZNF841		1	1	52	1.9%	No
ACD		1	1	52	1.9%	No
PPP1R7		1	1	52	1.9%	No
SVIL		1	1	52	1.9%	No
PTTG2		1	1	52	1.9%	No
PCDHGA11		1	1	52	1.9%	No
KIF1C		2	1	52	1.9%	No
PCDHGB6		2	2	52	3.8%	No
MTOR		2	2	52	3.8%	Yes
ABCC8		1	1	52	1.9%	No
MED22		1	1	52	1.9%	No
RAI2		1	1	52	1.9%	No
MYEF2		1	1	52	1.9%	No
NBEAL1		2	2	52	3.8%	No
IRX4		1	1	52	1.9%	No
FAM114A1		1	1	52	1.9%	No
OSBPL10		2	2	52	3.8%	No
NDRG2		1	1	52	1.9%	No
BIRC6		3	3	52	5.8%	No
TBR1		1	1	52	1.9%	No
NRG3		1	1	52	1.9%	No
PCDHGA2		1	1	52	1.9%	No
PCDHGA1		2	2	52	3.8%	No
SYCP1		1	1	52	1.9%	No
NKPD1		1	1	52	1.9%	No
TBXT		1	1	52	1.9%	No
TENM2		1	1	52	1.9%	No
CRISPLD2		1	1	52	1.9%	No
SLC12A7		1	1	52	1.9%	No
AXDND1		1	1	52	1.9%	No
TMCC3		1	1	52	1.9%	No
PCDHB8		1	1	52	1.9%	No
PCDHB14		1	1	52	1.9%	No
DSCAML1		1	1	52	1.9%	No
CCDC9B		1	1	52	1.9%	No
PTGES3		1	1	52	1.9%	No
ZNF575		1	1	52	1.9%	No
PTPA		1	1	52	1.9%	No
PPP2R5C		1	1	52	1.9%	No
POLQ		1	1	52	1.9%	Yes
LINC02904		1	1	52	1.9%	No
OR4C13		1	1	52	1.9%	No
NPY4R		1	1	52	1.9%	No
TAF1		1	1	52	1.9%	Yes
MEFV		4	2	52	3.8%	No
MEIS1		1	1	52	1.9%	No
USP49		1	1	52	1.9%	No
CLCN7		1	1	52	1.9%	No
CLCN4		2	2	52	3.8%	No
ARL6IP1		1	1	52	1.9%	No
PRKD2		1	1	52	1.9%	No
ACSBG1		1	1	52	1.9%	No
DUS3L		1	1	52	1.9%	No
CLCA1		1	1	52	1.9%	No
CLC		1	1	52	1.9%	No
DUSP10		1	1	52	1.9%	No
NLRC5		1	1	52	1.9%	No
MECP2		2	2	52	3.8%	No
MEF2A		1	1	52	1.9%	No
PPP5C		1	1	52	1.9%	No
CDKN2AIP		1	1	52	1.9%	No
KIAA1109		1	1	52	1.9%	No
PPP1R9A		1	1	52	1.9%	No
TSLP		1	1	52	1.9%	No
MAP3K7		1	1	52	1.9%	Yes
MEOX2		1	1	52	1.9%	No
CLK3		1	1	52	1.9%	No
IGKV1D-17		1	1	52	1.9%	No
CLK2		1	1	52	1.9%	No
CLK1		1	1	52	1.9%	No
PRRC2C		2	2	52	3.8%	No
ARHGEF33		1	1	52	1.9%	No
IGKV1D-16		1	1	52	1.9%	No
MXRA5		2	2	52	3.8%	No
NT5C3A		1	1	52	1.9%	No
ATG16L2		2	2	52	3.8%	No
FAM9A		1	1	52	1.9%	No
MAP3K1	1.400e-10	4	3	52	5.8%	Yes
SEC63		1	1	52	1.9%	No
SV2A		1	1	52	1.9%	No
KIF16B		1	1	52	1.9%	No
MAP3K4		2	2	52	3.8%	No
PRCP		1	1	52	1.9%	No
OTOG		3	3	52	5.8%	No
MAP3K5		1	1	52	1.9%	No
OLFML3		1	1	52	1.9%	No
PRELP		1	1	52	1.9%	No
DOCK10		1	1	52	1.9%	No
EMSY		1	1	52	1.9%	Yes
ZNF479		1	1	52	1.9%	No
MEST		1	1	52	1.9%	No
MET		1	1	52	1.9%	Yes
ZNF831		1	1	52	1.9%	No
TRMT1		2	2	52	3.8%	No
ZC3H18		2	2	52	3.8%	No
MEP1A		2	2	52	3.8%	No
AMBRA1		1	1	52	1.9%	No
TMCC2		1	1	52	1.9%	No
POMGNT1		1	1	52	1.9%	No
ZNF407		1	1	52	1.9%	No
CLEC7A		1	1	52	1.9%	No
HELZ		1	1	52	1.9%	No
RGS20		1	1	52	1.9%	No
PARP6		1	1	52	1.9%	No
TBC1D22B		1	1	52	1.9%	No
PLCZ1		1	1	52	1.9%	No
DNAJC27		1	1	52	1.9%	No
SHD		1	1	52	1.9%	No
SYBU		1	1	52	1.9%	No
SEC16B		1	1	52	1.9%	No
HDX		1	1	52	1.9%	No
MFAP1		1	1	52	1.9%	No
PRKACG		1	1	52	1.9%	No
CHD7		2	2	52	3.8%	No
KIF14		1	1	52	1.9%	No
LPGAT1		1	1	52	1.9%	No
AKAP11		1	1	52	1.9%	No
PRKCD		1	1	52	1.9%	No
PRKCE		2	1	52	1.9%	No
FBXL2		1	1	52	1.9%	No
MIA2		1	1	52	1.9%	No
DLEC1		1	1	52	1.9%	No
B3GLCT		1	1	52	1.9%	No
NID2		1	1	52	1.9%	No
MTO1		1	1	52	1.9%	No
BFAR		1	1	52	1.9%	No
KIF18A		1	1	52	1.9%	No
ANXA7		1	1	52	1.9%	No
ANXA11		1	1	52	1.9%	No
COA4		1	1	52	1.9%	No
NAA16		1	1	52	1.9%	No
ACSS3		3	2	52	3.8%	No
RXFP3		1	1	52	1.9%	No
PRKAR2B		1	1	52	1.9%	No
SLC25A12		1	1	52	1.9%	No
APAF1		1	1	52	1.9%	No
HMBOX1		1	1	52	1.9%	No
PRKDC		1	1	52	1.9%	Yes
NIPBL		2	2	52	3.8%	No
RSPH10B		1	1	52	1.9%	No
USP12		1	1	52	1.9%	No
MAPK7		1	1	52	1.9%	No
HECTD1		1	1	52	1.9%	No
LUZP2		1	1	52	1.9%	No
FSBP		1	1	52	1.9%	No
NHP2		1	1	52	1.9%	No
DTWD1		1	1	52	1.9%	No
APBB1		1	1	52	1.9%	No
BBX		1	1	52	1.9%	No
FCRL3		1	1	52	1.9%	No
INTS8		1	1	52	1.9%	No
PRDM10		1	1	52	1.9%	No
APC		1	1	52	1.9%	Yes
TCTN1		1	1	52	1.9%	No
MAGEC1		1	1	52	1.9%	No
ZNF692		1	1	52	1.9%	No
CADPS		1	1	52	1.9%	No
SDE2		2	2	52	3.8%	No
SPDEF		1	1	52	1.9%	No
DNAH17		3	3	52	5.8%	No
ZNF814		1	1	52	1.9%	No
SLC39A6		1	1	52	1.9%	No
ZNF446		1	1	52	1.9%	No
TULP4		1	1	52	1.9%	No
BCL6B		1	1	52	1.9%	No
RPP40		1	1	52	1.9%	No
DDX27		2	2	52	3.8%	No
SCRN3		1	1	52	1.9%	No
FAT4		1	1	52	1.9%	Yes
APOB		1	1	52	1.9%	No
HS3ST3A1		1	1	52	1.9%	No
RFXANK		1	1	52	1.9%	No
ZNF268		2	2	52	3.8%	No
NUP153		1	1	52	1.9%	No
ATXN10		1	1	52	1.9%	No
MIP		1	1	52	1.9%	No
ZRSR2P1		3	2	52	3.8%	No
FBXO39		1	1	52	1.9%	No
KLK5		1	1	52	1.9%	No
MKI67		1	1	52	1.9%	Yes
DCHS1		2	2	52	3.8%	No
MID1		1	1	52	1.9%	No
ATP8B3		1	1	52	1.9%	No
NBPF1		2	2	52	3.8%	No
PPP4R3A		1	1	52	1.9%	No
GALNT14		1	1	52	1.9%	No
NDNF		1	1	52	1.9%	No
MED12		2	2	52	3.8%	Yes
OASL		1	1	52	1.9%	No
MED13		2	2	52	3.8%	No
TYRP1		1	1	52	1.9%	No
SH3TC2		1	1	52	1.9%	No
TBC1D20		1	1	52	1.9%	No
MAP3K10		1	1	52	1.9%	No
DOP1B		3	2	52	3.8%	No
NUMB		1	1	52	1.9%	No
PKHD1L1		1	1	52	1.9%	No
KMT2A		2	2	52	3.8%	Yes
MAP4K1		1	1	52	1.9%	No
AFF1		1	1	52	1.9%	Yes
STAB1		1	1	52	1.9%	No
SYNE3		2	2	52	3.8%	No
APP		1	1	52	1.9%	No
MLH1		1	1	52	1.9%	Yes
WDR43		1	1	52	1.9%	No
FAS		1	1	52	1.9%	Yes
MAPK8IP3		1	1	52	1.9%	No
SHROOM2		2	2	52	3.8%	No
PKP3		1	1	52	1.9%	No
UBA1		1	1	52	1.9%	No
ABCB11		2	2	52	3.8%	No
CEP250		2	2	52	3.8%	No
RGS7		1	1	52	1.9%	No
EIF3A		1	1	52	1.9%	No
P2RY13		1	1	52	1.9%	No
ABCB8		1	1	52	1.9%	No
WIF1		1	1	52	1.9%	Yes
ABAT		1	1	52	1.9%	No
SPAG8		1	1	52	1.9%	No
TTLL12		1	1	52	1.9%	No
AR		1	1	52	1.9%	Yes
ARAF		1	1	52	1.9%	Yes
GPR84		1	1	52	1.9%	No
UBR1		1	1	52	1.9%	No
TNKS		1	1	52	1.9%	No
ABCA2		1	1	52	1.9%	No
PATL2		1	1	52	1.9%	No
ABCF1		2	2	52	3.8%	No
EIF4G3		1	1	52	1.9%	No
UCHL3		2	2	52	3.8%	No
ABR		1	1	52	1.9%	No
SSPOP		1	1	52	1.9%	No
CLEC14A		1	1	52	1.9%	No
CABS1		1	1	52	1.9%	No
CDHR5		1	1	52	1.9%	No
ZCRB1		1	1	52	1.9%	No
PRAM1		1	1	52	1.9%	No
LRCH1		2	2	52	3.8%	No
ACADSB		1	1	52	1.9%	No
UFD1		1	1	52	1.9%	No
TSPAN11		1	1	52	1.9%	No
BAZ2A		1	1	52	1.9%	No
LZTS1		1	1	52	1.9%	No
ZNF626		1	1	52	1.9%	No
UGT2B4		2	2	52	3.8%	No
ACLY		1	1	52	1.9%	No
PGBD3		1	1	52	1.9%	No
CAMTA2		1	1	52	1.9%	No
POGZ		1	1	52	1.9%	No
TMEM59L		1	1	52	1.9%	No
RAD54B		1	1	52	1.9%	No
ARHGAP5		1	1	52	1.9%	No
ARHGAP6		1	1	52	1.9%	No
ARHGDIA		1	1	52	1.9%	No
ARHGDIB		1	1	52	1.9%	No
ACAD11		1	1	52	1.9%	No
RBMXL1		1	1	52	1.9%	No
LRRIQ1		1	1	52	1.9%	No
ATP10B		1	1	52	1.9%	No
ZDHHC2		1	1	52	1.9%	No
RAB3GAP2		1	1	52	1.9%	No
ACO2		2	2	52	3.8%	No
OR4F17		1	1	52	1.9%	No
HHLA2		1	1	52	1.9%	No
SPANXN2		1	1	52	1.9%	No
ACP2		1	1	52	1.9%	No
ACP5		1	1	52	1.9%	No
ACP3		1	1	52	1.9%	No
MYOM3		1	1	52	1.9%	No
COL14A1		1	1	52	1.9%	No
USP4		2	2	52	3.8%	No
ACTA2		2	2	52	3.8%	No
FICD		1	1	52	1.9%	No
PHF8		1	1	52	1.9%	No
KDM6B		1	1	52	1.9%	No
EPB41L3		1	1	52	1.9%	No
SMC5		1	1	52	1.9%	No
